"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"75",7.02532512,1,3,0,4,2,0,1,2,2,15,1.75552162,1.684,16.2853845,0.763949,3.585592,5
"76",7.400410678,1,1,0,0,1,4,2,2,3,14,1.319953618,1.9914,18.7457075,4.097965,20.405342,5
"77",7.06091718,3,2,5,3,5,2,4,3,5,32,1.128008884,1.5956,15.983316,3.202093,1.138219,4
"78",6.606433949,5,3,2,2,5,2,5,5,1,30,1.232579215,1.451,12.2184885,0.89907,1.240237,5
"79",6.893908282,2,2,2,3,5,2,3,4,3,26,1.829324399,1.8344,18.9848285,60.976774,26.804395,3
"80",6.546201232,2,2,3,3,4,3,4,5,1,27,1.73418765,1.6448,17.6657475,34.032585,55.312678,3
"81",7.039014374,2,0,3,1,0,1,4,1,1,13,1.740941842,2.249,16.0941295,8.764894,7.879163,4
"82",7.403148528,3,4,3,3,2,3,3,3,3,27,3.484808453,1.5984,12.5820615,11.305428,9.036799,3
"83",7.3045859,3,4,1,4,4,6,6,4,3,35,1.535489313,1.477,11.080877,11.404112,6.243877,6
"84",6.855578371,2,2,1,2,2,4,5,3,1,22,1.582901736,1.852,17.490297,44.802246,9.131384,5
"85",7.23340178,1,2,1,1,2,1,1,2,3,14,1.577785366,1.7874,15.6949605,0.688433,1.559349,4
"86",6.776180698,2,3,3,2,1,5,5,2,3,26,2.329276232,1.6006,19.6115865,14.658661,8.678898,5
"87",7.017111567,1,2,2,1,2,2,3,3,5,21,2.238869,2.0428,16.027133,13.685423,46.446133,4
"88",6.614647502,1,2,2,1,1,3,3,3,3,19,1.666399462,2.0706,16.2613095,5.216901,7.929265,3
"89",6.789869952,1,0,0,2,1,2,2,2,1,11,1.906851565,1.6408,34.282548,6.05106,6.038258,3
"90",6.767967146,4,2,3,4,2,3,6,3,2,29,1.884369349,1.8298,44.619794,34.459014,1.918135,5
"91",6.954140999,5,5,3,1,1,6,2,4,4,31,2.056316281,2.2326,12.789712,2.499114,2.063213,5
"92",8.169746749,4,2,2,4,4,3,4,2,3,28,1.837707753,2.341,11.8531735,16.952855,13.056874,3
"93",7.745379877,4,3,4,4,5,5,5,3,5,38,1.859000324,2.072,10.685428,2.151886,6.533039,3
"94",8.457221081,1,4,3,0,3,3,4,5,4,27,2.387129071,1.6312,14.1170435,4.482208,4.80363,5
"95",8.101300479,6,4,2,4,5,3,6,5,5,40,1.672211793,2.3316,62.833096,5.626545,8.161708,5
"96",7.832991102,4,1,1,5,2,2,4,4,2,25,1.914663891,1.866,18.665062,0.673285,0.792213,5
"97",7.559206023,2,4,2,5,2,4,6,4,4,33,1.829388799,2.07,11.0462615,2.29915,8.223415,4
"98",8.120465435,0,1,0,1,0,1,1,0,4,8,3.09318137,1.8744,29.169008,31.519307,92.72807,4
"99",8.260095825,5,3,4,5,4,5,6,6,3,41,1.133250631,1.6244,9.2722495,7.146671,8.153153,7
"100",8.202600958,3,2,0,5,2,0,5,3,3,23,2.371077272,1.5586,13.3866995,13.926134,1.087639,6
"101",7.509924709,4,0,2,2,4,4,3,3,3,25,1.838627049,1.7354,16.7026785,4.228673,1.741659,5
"102",7.86036961,2,3,4,3,4,3,4,4,1,28,1.728691024,1.649,15.052051,18.103526,7.139133,1
"103",8.355920602,2,3,1,4,2,3,4,3,1,23,1.918266366,1.7938,15.71326,3.947288,3.040046,4
"104",8.188911704,4,4,2,4,4,3,4,3,2,30,1.738017591,1.7146,12.3857015,4.98754,3.601466,6
"105",7.772758385,2,2,2,2,3,2,5,4,3,25,1.277256102,1.8526,30.036412,2.272128,2.961091,5
"106",8,3,2,2,0,3,2,3,1,2,18,2.220502021,2.7976,20.6953295,2.074548,3.222025,4
"107",8.030116359,2,3,1,3,3,2,6,3,4,27,1.242340045,1.8068,13.136285,5.844271,3.013433,6
"108",8.306639288,5,6,6,4,4,2,5,5,4,41,2.146399118,1.7798,12.935508,4.95468,8.941676,3
"109",7.542778919,2,1,1,3,4,0,3,2,2,18,2.342542549,1.9578,35.9937175,3.526787,2.499311,5
"110",8.402464066,5,5,3,4,3,2,6,6,3,37,1.164953605,1.557,11.36222,2.901762,4.307631,7
"111",8.194387406,5,2,4,5,2,4,6,4,4,36,1.055339127,1.619,15.61833,11.791451,5.908974,6
"112",7.912388775,3,2,3,4,4,4,3,6,3,32,1.141508728,1.4352,7.6122525,23.397215,5.027771,5
"113",8.194387406,6,3,4,4,5,2,6,5,5,40,1.225462496,1.5048,10.1323885,25.183427,6.344256,7
"114",7.534565366,3,1,0,3,1,0,5,0,1,14,1.239877442,2.2494,15.2874015,2.96674,5.907654,6
"115",7.805612594,5,1,0,4,1,2,5,3,0,21,1.292135669,1.9944,13.103427,8.132337,3.778028,5
"116",8.262833676,6,3,2,6,5,2,6,4,4,38,1.0301168,1.6196,9.101212,0.986783,1.238396,4
"117",7.950718686,3,3,3,4,4,4,5,4,1,31,3.39003797,3.6004,57.45632,2.519322,2.409878,4
"118",8.158795346,3,4,3,4,5,2,3,5,3,32,1.863516649,2.6762,13.864864,18.289172,11.585683,4
"119",8.156057495,2,3,4,3,4,1,4,4,4,29,1.696803825,1.6676,18.245084,6.67388,11.392115,6
"120",8.041067762,2,2,2,0,0,3,3,4,1,17,1.334698667,1.9348,17.264085,2.362508,1.74237,4
"121",7.906913073,3,1,2,4,3,1,4,5,4,27,1.286252754,2.1556,27.3961535,2.820495,4.157885,6
"122",7.947980835,5,0,2,3,4,3,2,5,3,27,1.50415603,1.9814,31.377997,2.59606,3.950353,6
"123",7.975359343,3,5,4,3,5,5,6,3,2,36,1.261872645,1.4302,8.6225135,13.676571,12.283072,6
"124",8.364134155,3,4,1,5,2,5,5,4,3,32,0.97319604,1.4802,39.4210435,3.467208,1.516997,6
"125",7.800136893,4,2,1,3,4,3,4,4,3,28,1.089200253,1.6788,10.6899955,3.334943,3.296771,6
"126",8.030116359,5,2,0,5,4,2,4,5,4,31,1.046802882,1.9864,36.2938115,7.84879,18.68557,6
