participant,I_30250,I_30400,I_30550,I_40250,I_40400,I_40550,I_50250,I_50400,I_50550,interception,Open,Closed,age,Ckat_Tracking,Ckat_aiming,Ckat_Tracing,Attainment_Maths,Attainment_Reading,Attainment_Writing
282,2,0,0,0,2,3,4,4,3,18,4.429842,3.176406,10.00958248,12.966439,2.1626,1.153500806,9,11,9
283,4,5,5,5,4,3,6,4,6,42,1.964885,4.049555,9.552361396,7.6857105,1.2866,1.234945262,9,11,9
284,4,5,1,1,3,3,2,4,5,28,0.842502,0.796382,10.33812457,8.6465255,,1.001897509,11,11,10
285,3,2,4,5,6,4,6,5,3,38,20.407257,6.124592,9.908281999,56.0938655,1.3042,1.211796501,8,6,6
286,6,5,1,5,3,3,5,2,4,34,30.00062,14.908567,10.34086242,22.462513,1.3608,1.524629784,7,5,6
287,3,3,3,3,5,3,5,4,3,32,4.876984,6.127639,10.43394935,8.2742125,1.4974,1.291544221,9,10,8
288,3,1,4,3,2,2,6,3,4,28,15.829435,0.880286,10.0862423,10.1813845,1.4454,0.978692745,8,8,8
289,3,3,1,0,4,3,6,4,1,25,2.396058,5.432661,10.12457221,10.629633,1.2406,1.129135103,8,9,8
290,4,3,3,4,4,4,4,5,6,37,7.250009,12.221496,9.9137577,14.457125,1.9048,1.169299432,,,
291,4,2,0,4,3,1,3,4,6,27,39.096321,13.434857,9.56605065,14.3427105,1.5874,1.103599873,8,9,8
292,3,2,3,5,4,5,6,3,4,35,2.71907,2.64067,10.275154,8.6720125,1.2202,1.007518649,10,10,10
293,3,3,2,4,5,4,5,5,4,35,,15.6093,9.998631075,11.789964,1.4242,1.411419398,10,9,8
294,1,1,0,1,1,1,4,1,2,12,2.809778,4.307388,10.15742642,31.948426,1.7682,1.681739181,4,4,4
295,3,0,1,1,1,3,4,2,0,15,5.044636,10.435615,9.519507187,,,,,1,
296,4,4,3,5,5,2,4,3,5,35,23.619943,7.08035,10.10540726,8.8714245,1.185,1.278854681,9,9,8
297,5,5,2,5,4,3,6,5,5,40,2.143943,1.372545,10.03969884,38.412078,1.5428,1.43192955,10,11,9
298,4,5,4,3,3,5,5,5,2,36,11.586935,5.278393,10.16290212,9.507756,1.4202,1.660975826,11,9,8
299,4,3,3,5,4,3,6,4,1,33,1.67158,0.645615,9.765913758,14.061847,1.7268,0.850448099,9,11,9
300,2,3,3,3,4,3,5,5,4,32,3.095769,3.898216,10.19028063,11.585795,1.3658,1.814536463,7,7,5
301,5,6,2,4,6,6,6,6,5,46,1.902513,10.783531,10.43942505,9.5988005,1.7254,1.313309391,8,8,7
302,4,6,3,1,2,3,5,4,3,31,21.966385,16.238472,9.902806297,23.421883,1.4976,1.559970689,8,8,7
303,0,1,0,0,3,1,1,0,2,8,0.50398,4.33863,9.516769336,,,,2,3,2
304,3,2,3,2,2,3,2,2,2,21,3.90676,3.21874,10.39288159,9.501057,1.4734,1.15949427,10,10,9
305,2,6,3,1,3,5,1,6,4,31,19.532124,25.215256,11.21697467,31.7952995,,2.62598369,9,11,9
306,6,5,2,5,5,4,5,4,4,40,1.472635,1.29887,10.67214237,10.161884,1.265,0.807943273,13,14,11
307,4,5,3,6,5,2,5,5,6,41,0.723334,0.979489,10.67214237,10.6221205,1.3112,0.778016581,,,
308,6,3,3,5,3,4,6,4,5,39,23.615236,1.600834,11.50171116,10.465909,1.4786,0.869674348,11,14,12
309,2,1,0,2,1,2,4,1,1,14,17.355748,10.865953,11.03353867,21.82607,1.5216,3.319393989,,,
